Taxon,ScientificName,ScientificName_accepted
Annelida,Acromegalomma claparedei,Acromegalomma claparedei
Annelida,Alitta succinea,Alitta succinea
Annelida,Alitta virens,Alitta virens
Annelida,Alkmaria romijni,Alkmaria romijni
Annelida,Amphicorina pectinata,Amphicorina pectinata
Annelida,Ancistrosyllis rigida,Synelmis rigida
Annelida,Aphelochaeta marioni,Aphelochaeta marioni
Annelida,Arhynchite arhynchite,Arhynchite arhynchite
Annelida,Autolytus cornutus,Proceraea cornuta
Annelida,Bhawania goodei,Bhawania goodei
Annelida,Bispira polyomma,Bispira polyomma
Annelida,Boccardia polybranchia,Boccardia polybranchia
Annelida,Boccardia proboscidea,Boccardia proboscidea
Annelida,Boccardia semibranchiata,Boccardia semibranchiata
Annelida,Boccardiella hamata,Boccardiella hamata
Annelida,Boccardiella ligerica,Boccardiella ligerica
Annelida,Branchiomma bairdi,Branchiomma bairdi
Annelida,Branchiomma boholense,Branchiomma boholense
Annelida,Branchiomma cingulatum,Branchiomma cingulatum
Annelida,Branchiomma luctuosum,Branchiomma luctuosum
Annelida,Branchiosyllis exilis,Branchiosyllis exilis
Annelida,Capitellethus dispar,Capitellethus dispar
Annelida,Ceratonereis mirabilis,Ceratonereis mirabilis
Annelida,Chaetozone corona,Chaetozone corona
Annelida,Chrysopetalum debile,Chrysopetalum debile
Annelida,Cirriformia semicincta,Cirriformia semicincta
Annelida,Clymenella torquata,Clymenella torquata
Annelida,Cossura coasta,Cossura coasta
Annelida,Crucigera websteri,Crucigera websteri
Annelida,Dasybranchus carneus,Dasybranchus carneus
Annelida,Dasychone cingulata,Branchiomma cingulatum
Annelida,Desdemona ornata,Desdemona ornata
Annelida,Diopatra hupferiana,Diopatra hupferiana
Annelida,Diopatra hupferiana hupferiana,Diopatra hupferiana hupferiana
Annelida,Diopatra hupferiana monroi,Diopatra hupferiana monroi
Annelida,Dipolydora armata,Dipolydora armata
Annelida,Dipolydora blakei,Dipolydora blakei
Annelida,Dipolydora flava,Dipolydora flava
Annelida,Dipolydora giardi,Dipolydora giardi
Annelida,Dipolydora quadrilobata,Dipolydora quadrilobata
Annelida,Dipolydora socialis,Dipolydora socialis
Annelida,Dispio magna,Dispio magna
Annelida,Dispio uncinata,Dispio uncinata
Annelida,Dodecaceria capensis,Dodecaceria capensis
Annelida,Dodecaceria fewkesi,Dodecaceria fewkesi
Annelida,Dorvillea similis,Dorvillea similis
Annelida,Enchytraeus albidus,Enchytraeus albidus
Annelida,Epidiopatra hupferiana,Diopatra hupferiana
Annelida,Epidiopatra hupferiana hupferiana,Diopatra hupferiana hupferiana
Annelida,Epidiopatra hupferiana monroi,Diopatra hupferiana monroi
Annelida,Erinaceusyllis serratosetosa,Erinaceusyllis serratosetosa
Annelida,Euchone limnicola,Euchone limnicola
Annelida,Eunice antennata,Leodice antennata
Annelida,Eunice cariboea,Nicidion cariboea
Annelida,Eunice floridana,Eunice floridana
Annelida,Eunice indica,Eunice indica
Annelida,Eunice tubifex,Eunice tubifex
Annelida,Euniphysa tubifex,Eunice tubifex
Annelida,Eurythoe complanata,Eurythoe complanata
Annelida,Eusyllis kupfferi,Eusyllis kupfferi
Annelida,Exogone (Exogone) breviantennata,Exogone (Exogone) breviantennata
Annelida,Exogone africana,Exogone africana
Annelida,Fabricia filamentosa,Pseudofabriciola filamentosa
Annelida,Fabriciola ghardaqa,Fabriciola ghardaqa
Annelida,Ficopomatus enigmaticus,Ficopomatus enigmaticus
Annelida,Ficopomatus uschakovi,Ficopomatus uschakovi
Annelida,Glycera alba,Glycera alba
Annelida,Glycera alba adspersa,Glycera alba adspersa
Annelida,Glycera capitata,Glycera capitata
Annelida,Glycinde bonhourei,Glycinde bonhourei
Annelida,Goniadella gracilis,Goniadella gracilis
Annelida,Harmothoe boholensis,Paralepidonotus indicus
Annelida,Harmothoe minuta,Harmothoe minuta
Annelida,Hesionides arenaria,Hesionides arenaria
Annelida,Hesionura serrata,Hesionura serrata
Annelida,Heteromastus filiformis,Heteromastus filiformis
Annelida,Hyboscolex longiseta,Hyboscolex longiseta
Annelida,Hydroides albiceps,Hydroides albiceps
Annelida,Hydroides brachyacantha,Hydroides brachyacantha
Annelida,Hydroides brachyacanthus,Hydroides brachyacantha
Annelida,Hydroides dianthus,Hydroides dianthus
Annelida,Hydroides dirampha,Hydroides dirampha
Annelida,Hydroides elegans,Hydroides elegans
Annelida,Hydroides ezoensis,Hydroides ezoensis
Annelida,Hydroides heterocera,Hydroides heterocera
Annelida,Hydroides heterocerus,Hydroides heterocera
Annelida,Hydroides homoceros,Hydroides homoceros
Annelida,Hydroides homocerus,Hydroides homoceros
Annelida,Hydroides minax,Hydroides minax
Annelida,Hydroides novaepommeraniae,Hydroides novaepommeraniae
Annelida,Hydroides operculata,Hydroides operculata
Annelida,Hydroides sanctaecrucis,Hydroides sanctaecrucis
Annelida,Hydroides steinitzi,Hydroides steinitzi
Annelida,Hypania invalida,Hypania invalida
Annelida,Isolda pulchella,Isolda pulchella
Annelida,Janua brasiliensis,Neodexiospira brasiliensis
Annelida,Janua heterostropha,Janua heterostropha
Annelida,Janua pagenstecheri,Janua heterostropha
Annelida,Kirkegaardia dorsobranchialis,Kirkegaardia dorsobranchialis
Annelida,Laonice norgensis,Laonice norgensis
Annelida,Laonome calida,Laonome calida
Annelida,Laonome triangularis,Laonome triangularis
Annelida,Laubieriellus salzi,Laubieriellus salzi
Annelida,Leiochrides australis,Leiochrides australis
Annelida,Leitoscoloplos kerguelensis,Leitoscoloplos kerguelensis
Annelida,Leocrates chinensis,Leocrates chinensis
Annelida,Leodice antennata,Leodice antennata
Annelida,Leodice miurai,Leodice miurai
Annelida,Leonnates decipiens,Leonnates decipiens
Annelida,Leonnates indicus,Leonnates indicus
Annelida,Leonnates jousseaumei,Leonnates indicus
Annelida,Leonnates persicus,Leonnates persicus
Annelida,Lepidonotus carinulatus,Lepidonotus carinulatus
Annelida,Lepidonotus tenuisetosus,Lepidonotus tenuisetosus
Annelida,Linopherus acarunculatus,Linopherus acarunculatus
Annelida,Linopherus canariensis,Linopherus canariensis
Annelida,Loimia medusa,Loimia medusa
Annelida,Longibrachium atlanticum,Longibrachium atlanticum
Annelida,Lumbricillus lineatus,Lumbricillus lineatus
Annelida,Lumbricillus maritimus,Lumbricillus maritimus
Annelida,Lumbrinerides neogesae,Lumbrinerides neogesae
Annelida,Lumbrineris acutifrons,Lumbrineris acutifrons
Annelida,Lumbrineris debilis,Lumbrineris debilis
Annelida,Lumbrineris inflata,Lumbrineris inflata
Annelida,Lumbrineris perkinsi,Lumbrineris perkinsi
Annelida,Lysidice collaris,Lysidice collaris
Annelida,Lysidice natalensis,Lysidice natalensis
Annelida,Marenzelleria arctia,Marenzelleria arctia
Annelida,Marenzelleria neglecta,Marenzelleria neglecta
Annelida,Marenzelleria viridis,Marenzelleria viridis
Annelida,Marphysa disjuncta,Paucibranchia disjuncta
Annelida,Marphysa sanguinea,Marphysa sanguinea
Annelida,Marphysa victori,Marphysa victori
Annelida,Mediomastus capensis,Mediomastus capensis
Annelida,Megalomma claparedei,Acromegalomma claparedei
Annelida,Metasychis gotoi,Metasychis gotoi
Annelida,Microphthalmus similis,Microphthalmus similis
Annelida,Monticellina dorsobranchialis,Kirkegaardia dorsobranchialis
Annelida,Myxicola infundibulum,Myxicola infundibulum
Annelida,Naineris quadraticeps,Naineris quadraticeps
Annelida,Neanthes willeyi,Neanthes willeyi
Annelida,Neodexiospira brasiliensis,Neodexiospira brasiliensis
Annelida,Neodexiospira steueri,Neodexiospira steueri
Annelida,Neopseudocapitella brasiliensis,Neopseudocapitella brasiliensis
Annelida,Nephtys ciliata,Nephtys ciliata
Annelida,Nereis (Nereis) gilchristi,Nereis (Nereis) gilchristi
Annelida,Nereis gilchristi,Nereis (Nereis) gilchristi
Annelida,Nereis jacksoni,Nereis jacksoni
Annelida,Nereis persica,Nereis persica
Annelida,Nereis virens,Alitta virens
Annelida,Nereis zonata,Nereis zonata
Annelida,Nereis zonata persica,Nereis zonata persica
Annelida,Nicidion cariboea,Nicidion cariboea
Annelida,Notomastus aberans,Notomastus aberans
Annelida,Notomastus mossambicus,Notomastus mossambicus
Annelida,Notopygos crinita,Notopygos crinita
Annelida,Novafabricia infratorquata,Novafabricia infratorquata
Annelida,Ochetostoma erythrogrammon,Ochetostoma erythrogrammon
Annelida,Onuphis eremita,Onuphis eremita
Annelida,Onuphis eremita oculata,Onuphis eremita oculata
Annelida,Ophryotrocha diadema,Ophryotrocha diadema
Annelida,Ophryotrocha japonica,Ophryotrocha japonica
Annelida,Opisthosyllis brunnea,Opisthosyllis brunnea
Annelida,Oxydromus pallidus,Oxydromus pallidus
Annelida,Palola valida,Palola valida
Annelida,Paradyte crinoidicola,Paradyte crinoidicola
Annelida,Paraehlersia weissmannioides,Paraehlersia weissmannioides
Annelida,Paralaeospira malardi,Paralaeospira malardi
Annelida,Paraleiocapitella mossambica,Notomastus mossambicus
Annelida,Paralepidonotus indicus,Paralepidonotus indicus
Annelida,Paranais frici,Paranais frici
Annelida,Paraprionospio coora,Paraprionospio coora
Annelida,Parasabella fullo,Parasabella fullo
Annelida,Paucibranchia disjuncta,Paucibranchia disjuncta
Annelida,Perinereis nuntia,Perinereis nuntia
Annelida,Perkinsyllis augeneri,Perkinsyllis augeneri
Annelida,Phyllodoce longifrons,Phyllodoce longifrons
Annelida,Pileolaria berkeleyana,Pileolaria berkeleyana
Annelida,Pileolaria militaris,Pileolaria militaris
Annelida,Pileolaria rosepigmentata,Pileolaria berkeleyana
Annelida,Pisione guanche,Pisione guanche
Annelida,Pista unibranchia,Pista unibranchia
Annelida,Platynereis australis,Platynereis australis
Annelida,Podarkeopsis capensis,Podarkeopsis capensis
Annelida,Polycirrus twisti,Polycirrus twisti
Annelida,Polydora ciliata,Polydora ciliata
Annelida,Polydora colonia,Polydora colonia
Annelida,Polydora cornuta,Polydora cornuta
Annelida,Polydora hoplura,Polydora hoplura
Annelida,Polydora ligni,Polydora cornuta
Annelida,Polydora limicola,Polydora limicola
Annelida,Polydora redeki,Boccardiella ligerica
Annelida,Polydora spongicola,Polydora spongicola
Annelida,Polydora websteri,Polydora websteri
Annelida,Pomatoleios kraussii,Spirobranchus kraussii
Annelida,Prionospio (Prionospio) depauperata,Prionospio depauperata
Annelida,Prionospio aucklandica,Prionospio aucklandica
Annelida,Prionospio depauperata,Prionospio depauperata
Annelida,Prionospio krusadensis,Prionospio krusadensis
Annelida,Prionospio paucipinnulata,Prionospio paucipinnulata
Annelida,Prionospio pulchra,Prionospio pulchra
Annelida,Prionospio pygmaeus,Prionospio pygmaeus
Annelida,Prionospio saccifera,Prionospio saccifera
Annelida,Prionospio salzi,Laubieriellus salzi
Annelida,Prionospio sexoculata,Prionospio sexoculata
Annelida,Proceraea cornuta,Proceraea cornuta
Annelida,Proscoloplos cygnochaetus,Proscoloplos cygnochaetus
Annelida,Protodorvillea biarticulata,Protodorvillea biarticulata
Annelida,Protodorvillea egena,Protodorvillea egena
Annelida,Pseudofabriciola filamentosa,Pseudofabriciola filamentosa
Annelida,Pseudonereis anomala,Pseudonereis anomala
Annelida,Pseudopolydora kempi,Pseudopolydora kempi
Annelida,Pseudopolydora paucibranchiata,Pseudopolydora paucibranchiata
Annelida,Pseudopotamilla occelata,Pseudopotamilla occelata
Annelida,Questa caudicirra,Questa caudicirra
Annelida,Rhodine loveni,Rhodine loveni
Annelida,Sabella spallanzanii,Sabella spallanzanii
Annelida,Sabellastarte spectabilis,Sabellastarte spectabilis
Annelida,Salmacina dysteri,Salmacina dysteri
Annelida,Scolelepis korsuni,Scolelepis korsuni
Annelida,Scoletoma debilis,Scoletoma debilis
Annelida,Serpula hartmanae,Serpula hartmanae
Annelida,Sigambra constricta,Sigambra constricta
Annelida,Sigambra parva,Sigambra parva
Annelida,Sigambra tentaculata,Sigambra tentaculata
Annelida,Spiophanes algidus,Spiophanes algidus
Annelida,Spirobranchus giganteus,Spirobranchus giganteus
Annelida,Spirobranchus kraussii,Spirobranchus kraussii
Annelida,Spirobranchus tetraceros,Spirobranchus tetraceros
Annelida,Spirobranchus triqueter,Spirobranchus triqueter
Annelida,Spirorbis (Spirorbis) marioni,Spirorbis (Spirorbis) marioni
Annelida,Spirorbis marioni,Spirorbis (Spirorbis) marioni
Annelida,Streblosoma comatus,Thelepus comatus
Annelida,Streblosoma hesslei,Streblosoma hesslei
Annelida,Streblospio benedicti,Streblospio benedicti
Annelida,Streblospio gynobranchiata,Streblospio gynobranchiata
Annelida,Streptosyllis varians,Streptosyllis varians
Annelida,Stylarioides grubei,Stylarioides grubei
