Distance,Distance/2,Rate,Site ID,*Rate
,,,,
8.24,4.12,722.9999997,13A,441
,,,,
5.67,2.835,1502.000001,13B,1033
,,,,
5.3,2.65,395.0000001,14A,311
,,,,
11,5.5,380.0000003,14B,286
,,,,
58,29,1.000000002,14C,1.000000002
,,,,
3800,1900,0,15A,0
,,,,
230,115,13.00000001,16A,0
,,,,
32,16,409.0000003,16B,198
,,,,
212,106,0,18A,0
,,,,
300,150,0,19A,0
,,,,
2.75,1.375,15.99999999,20A,16
,,,,
891,445.5,0,20B,0
,,,,
700,350,1.000000002,20C,0
,,,,
4330,2165,0,21A,0
,,,,
285,142.5,1.000000002,21B,0
,,,,
407,203.5,0,22A,0
,,,,
366,183,0,22B,0
,,,,
171,85.5,445.9999999,25A,60
,,,,
14.3,7.15,403.9999998,27A,240
,,,,
46,23,0,27B,0
