Species,Fishbase_length,CEI_length,,,,,,,,,,,,,,,,,,
A_bahianus,38,18.2,,,,,,,,,,,,,,,,,,
A_coeruleus,39,17.9,,,,,,,,,,,,,,,,,,
A_chirurgus,39,23.3,,,,,,,,,,,,,,,,,,
H_album,79,27.5,,,,,,,,,,,,,,,,,,
H_flavolineatum,30,20.3,,,,,,,,,,H. carbonarium ,,,36,,,18.3 (3), ,
H._macrostomum,43,15,,,,,,,,,,,,,,,,,,
H_plumierii,53,21.8,,,,,,,,,,,,,,,,,,
H_garnoti,19.3,12,,,,,,,,,,,,H. sciurus,,,46,,,22.0 (769)
H_maculipinna,18,12.3,,,,,,,,,,,,,,,,,,
H_radiatus,51,13.2,,,,,,,,,,,,,,,,,,
Lachnolaimus_maximus,91,25,,,,,,,,,,,,,,,,,,
Thalassoma_bifasciatus,25,11.7,,,,,,,,,,,,,,,,,,
Lutjanus_analis,94,41.1,,,,,,,,,,,,,,,,,,
L._griseus ,89,26.3,,,,,,,,,,,,,,,,,,
L._synagris,60,23.3,,,,,,,,,,,,,,,,,,
Ocyurus_chrysurus,86.3,27.5,,,,,,, ,,,,,,,,,,,
Acanthostracion_polygonius,50,19.7,,,,,,,,,,,,,,,,,,
A_quadricornis,55,29.3,,,,,,,,,,,,,,,,,,
Lactophrys_bicaudalis,48,19.3,,,,,,,,,,,,,,,,,,
Holacanthus_ciliaris,45,21,,,,,,,,,,,,,,,,,,
Pomacanthus_arcuatus ,60,23.4,,,,,,,,,,,,,,,,,,
Pomacanthus_paru,41,25.2,,,,,,,,,,,,,,,,,,
Abudefduf_saxatilis,22.9,9.3,, ,,,,,,,,,,,,,,,,
Chromis_cyanea,15,4.7,,,,,,,,,,,,,,,,,,
Stegastes_leucostictus,10,6,,,,,,,,,,,,,,,,,,
Stegastes_variabilis,12.5,7.3,,,,,,,,,,,,,,,,,,
Scarus_taeniopterus,35,17.3,,,,,,,,,,,,,,,,,,
Sc_vetula,61,19.7,,,,,,,,,,,,,,,,,,
Sparisoma_aurofrenatum,28,18.6,,,,,,,,,,,,,,,,,,
Sp_chrysopterum,46,18,,,,,,,,,,,,,,,,,,
Sp_rubripinne,47.8,20,,,,,,,,,,,,,,,,,,
Sp_viride,64,23.3,,,,,,,,,,,,,,,,,,
Epinephelus_striatus,122,29.1,,,,,,,,,,,,,,,,,,
Mycteroperca_bonaci,150,29.4,,,,,,,,,,,,,,,,,,
Canthigaster_rostrata,12,5.7,,,,,,,,,,,,,,,,,,
Urobati_jamaicensis,76,26.6,,,,,,,,,,,,,,,,,,
