pt,au,ti,so,py,vl,bp,ep,ar,hit,impact,impact_metric,impact_notes,lat1,lon1,lat2,lon2,lat3,lon3,lat4,lon4,aut_loc,multiple_loc,location_notes,phylum,lat5,lon5,lat6,lon6,lat7,lon7,lat8,lon8,lat9,lon9,province,topic,subtopic,impact_method,species,column,iucn_no
J,"Orlosk, JL; Walker, JM; Morrison, AL; Atema, J",Conditioning the crab Carcinus maenas against instinctive light avoidance,MARINE AND FRESHWATER BEHAVIOUR AND PHYSIOLOGY,2011,44,375,381,NA,Invasive/crustacea,no,"NA","NA",41.576003,-70.636101999999994,"NA","NA","NA","NA","NA","NA",little_sippewissett_marsh,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,descriptive,NA,NA,Carcinus maenas,iucn_no1,12.5
J,"Marchini, A; Costa, AC; Ferrario, J; Micael, J",The global invader Paracerceis sculpta (Isopoda: Sphaeromatidae) has extended its range to the Azores Archipelago,MARINE BIODIVERSITY,2018,48,1001,1007,NA,Non-indigenous/crucstacean,no,"NA","NA",37.736609000000001,-25.664607,"NA","NA","NA","NA","NA","NA",ponta_delgada_marina,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,distribution,NA,NA,Paracerceis sculpta,iucn_no1,15.11
J,"Spilmont, N; Hachet, A; Faasse, MA; Jourde, J; Luczak, C; Seuront, L; Rolet, C",First records of Ptilohyale littoralis (Amphipoda: Hyalidae) and Boccardia proboscidea (Polychaeta: Spionidae) from the coast of the English Channel: habitat use and coexistence with other species,MARINE BIODIVERSITY,2018,48,1109,1119,NA,Non-indigenous/crucstacea,no,"NA","NA",50.762766999999997,1.599367,"NA","NA","NA","NA","NA","NA",fort_de_Croy,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,distribution,NA,NA,Ptilohyale littoralis,iucn_no1,9.23
J,"Gavira-O'Neill, K; Guerra-Garcia, JM; Moreira, J; Ros, M",Mobile epifauna of the invasive bryozoan Tricellaria inopinata: is there a potential invasional meltdown?,MARINE BIODIVERSITY,2018,48,1169,1178,NA,Invasive/Crustacea,yes,competition,"NA",36.541389000000002,-6.3002779999999996,"NA","NA","NA","NA","NA","NA",puerto_america,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,distribution,NA,correlation,Paracerceis sculpta,iucn_no1,15.11
J,"Bonifazi, A; Mancini, E; Ventura, D","First record of the invasive and cryptogenic species Jassa slatteryi Conlan, 1.990 (Crustacea: Amphipoda) in Italian coastal waters",JOURNAL OF SEA RESEARCH,2018,136,37,41,NA,Invasive,no,"NA","NA",42.090367000000001,11.790497,"NA","NA","NA","NA","NA","NA",port_of_civitavecchia,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,distribution,NA,NA,Jassa slatteryi,iucn_no1,15.11
J,"Ng, PKL; Ho, PH; Lin, CW; Yang, CH","The first record of an eastern Pacific invasive crab in Taiwanese waters: Amphithrax armatus (Saussure, 1853) (Brachyura: Majoidea: Mithracidae), with notes on the taxonomy of the genus",JOURNAL OF CRUSTACEAN BIOLOGY,2018,38,198,205,NA,Invasive/Crustacea,no,"NA","NA",22.726189999999999,120.25376,"NA","NA","NA","NA","NA","NA",kezailiao_fishing_port,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,distribution,NA,NA,Amphithrax armatus,iucn_no1,unknown
J,"Sadek, S; Abou El-Soud, W; Galil, BS","The brown shrimp Penaeus aztecus Ives, 1891 (Crustacea, Decapoda, Penaeidae) in the Nile Delta, Egypt: an exploitable resource for fishery and mariculture?",BIOINVASIONS RECORDS,2018,7,51,54,NA,Non-indigenous/introduced/crustacea,no,"NA","NA",31.523631000000002,31.844114999999999,"NA","NA","NA","NA","NA","NA",damietta_nile_estuary,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,distribution,NA,NA,Penaeus aztecus,iucn_no1,9.10
J,"Martinez-Laiz, G; Rose, M; Guerra-Garcia, JM",Marine exotic isopods from the Iberian Peninsula and nearby waters,PEERJ,2018,6,NA,NA,e4408,Exotic/crustacea,no,"NA","NA",43.441415999999997,-3.8041040000000002,36.713934000000002,-4.4045160000000001,"NA","NA","NA","NA","NA",Y,"NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,distribution,NA,NA,Ianiropsis serricaudis,iucn_no1,15.11
J,"Martinez-Laiz, G; Rose, M; Guerra-Garcia, JM",Marine exotic isopods from the Iberian Peninsula and nearby waters,PEERJ,2018,6,NA,NA,e4408,Exotic/crustacea,no,"NA","NA",43.441415999999997,-3.8041040000000002,36.713934000000002,-4.4045160000000001,"NA","NA","NA","NA","NA",Y,"NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,distribution,NA,NA,Ianiropsis serricaudis,iucn_no1,15.11
J,"Martinez-Laiz, G; Rose, M; Guerra-Garcia, JM",Marine exotic isopods from the Iberian Peninsula and nearby waters,PEERJ,2018,6,NA,NA,e4408,Exotic/crustacea,no,"NA","NA",43.441415999999997,-3.8041040000000002,36.713934000000002,-4.4045160000000001,"NA","NA","NA","NA","NA",Y,"NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,distribution,NA,NA,Paracerceis sculpta,iucn_no1,15.11
